id,size,content,binary,copies
d5b1049fdaa182fa5f47e6f9c45bd46a478118eb,1570,"{""version"":3,""sources"":[""angular-locale_az-cyrl-az.js""],""names"":[""angular"",""module"",""$provide"",""PLURAL_CATEGORY"",""ZERO"",""ONE"",""TWO"",""FEW"",""MANY"",""OTHER"",""value"",""DATETIME_FORMATS"",""AMPMS"",""DAY"",""ERANAMES"",""ERAS"",""FIRSTDAYOFWEEK"",""MONTH"",""SHORTDAY"",""SHORTMONTH"",""STANDALONEMONTH"",""WEEKENDRANGE"",""fullDate"",""longDate"",""medium"",""mediumDate"",""mediumTime"",""short"",""shortDate"",""shortTime"",""NUMBER_FORMATS"",""CURRENCY_SYM"",""DECIMAL_SEP"",""GROUP_SEP"",""PATTERNS"",""gSize"",""lgSize"",""maxFrac"",""minFrac"",""minInt"",""negPre"",""negSuf"",""posPre"",""posSuf"",""id"",""localeID"",""pluralCat"",""n"",""opt_precision""],""mappings"":""AAAA,YACAA,SAAQC,OAAO,eAAiB,WAAY,SAASC,GACrD,GAAIC,IAAmBC,KAAM,OAAQC,IAAK,MAAOC,IAAK,MAAOC,IAAK,MAAOC,KAAM,OAAQC,MAAO,QAC9FP,GAASQ,MAAM,WACbC,kBACEC,OACE,KACA,MAEFC,KACE,QACA,eACA,kBACA,WACA,cACA,OACA,SAEFC,UACE,MACA,MAEFC,MACE,MACA,MAEFC,eAAkB,EAClBC,OACE,SACA,SACA,OACA,QACA,MACA,OACA,OACA,SACA,WACA,UACA,SACA,UAEFC,UACE,QACA,eACA,kBACA,WACA,cACA,OACA,SAEFC,YACE,SACA,SACA,OACA,QACA,MACA,OACA,OACA,SACA,WACA,UACA,SACA,UAEFC,iBACE,SACA,SACA,OACA,QACA,MACA,OACA,OACA,SACA,WACA,UACA,SACA,UAEFC,cACE,EACA,GAEFC,SAAY,mBACZC,SAAY,YACZC,OAAU,oBACVC,WAAc,WACdC,WAAc,WACdC,MAAS,iBACTC,UAAa,WACbC,UAAa,SAEfC,gBACEC,aAAgB,OAChBC,YAAe,IACfC,UAAa,IACbC,WAEIC,MAAS,EACTC,OAAU,EACVC,QAAW,EACXC,QAAW,EACXC,OAAU,EACVC,OAAU,IACVC,OAAU,GACVC,OAAU,GACVC,OAAU,KAGVR,MAAS,EACTC,OAAU,EACVC,QAAW,EACXC,QAAW,EACXC,OAAU,EACVC,OAAU,MACVC,OAAU,GACVC,OAAU,KACVC,OAAU,MAIhBC,GAAM,aACNC,SAAY,aACZC,UAAa,SAASC,EAAGC,GAAkB,MAAS,IAALD,EAAoB5C,EAAgBE,IAAgBF,EAAgBM"",""file"":""angular-locale_az-cyrl-az.min.js""}",FALSE,256
896830f9ea31efd6b0d4b2a1955f11c27d199bbd,18616,,TRUE,1
bf1e2a8490344601c878b9ecc2bf567229cb6459,15580,,TRUE,1
e5976431eba91aa733b88ef0ca7599572a4cadbc,3328,,TRUE,1
311532e41682cab22722dc51d91d9d86e71593bc,8970,,TRUE,1
0f9f37090068023bce70395f5c31e9915c7c3c42,1060956,,TRUE,1
9c78cf443f6f6c6fc4370d3c29edaf4812d375b7,11208,,TRUE,1
54f06fa18833e05a2b52bdfc81d1fc190d2c0e69,861,,TRUE,1
fbf679e412e05e886f0b84a2dafae1eaf05d7656,875,,TRUE,1
74bc061ff301a4296b66771b1cc43c1b578a44cd,107097,,TRUE,1
