dma_name,dma_id,term,week,score,rank,refresh_date
Portland-Auburn ME,500,Ariana Grande,5/30/2021,24,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/6/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/27/2021,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/1/2021,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/8/2021,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/15/2021,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/22/2021,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/5/2021,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/19/2021,33,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/3/2021,32,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/10/2021,19,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/17/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/24/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/7/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/14/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/28/2021,36,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/2/2022,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/9/2022,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/13/2022,21,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/6/2022,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/20/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/3/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/10/2022,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/5/2022,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/12/2022,6,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/26/2022,12,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/3/2022,6,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/10/2022,3,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/31/2022,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/7/2022,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/14/2022,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/21/2022,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/11/2022,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/25/2022,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/2/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/9/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/6/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/27/2022,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/11/2022,14,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/18/2022,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/25/2022,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/1/2023,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/8/2023,18,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/22/2023,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/29/2023,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/5/2023,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/12/2023,,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/19/2023,3,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/26/2023,5,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/2/2023,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/9/2023,31,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/16/2023,,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/30/2023,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/7/2023,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/14/2023,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/21/2023,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/11/2023,3,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/18/2023,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/25/2023,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/2/2023,,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/16/2023,32,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/23/2023,36,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/27/2023,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/3/2023,7,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/10/2023,36,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/16/2018,46,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/30/2018,30,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/7/2018,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/21/2018,37,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/18/2018,41,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/9/2018,57,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/30/2018,32,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/13/2019,52,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/20/2019,57,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/3/2019,62,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/24/2019,47,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/3/2019,43,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/10/2019,35,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/24/2019,37,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/31/2019,35,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/14/2019,37,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/21/2019,34,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/5/2019,28,13,9/14/2023
Charlotte NC,517,Ariana Grande,5/26/2019,34,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/9/2019,81,13,9/14/2023
Charlotte NC,517,Ariana Grande,6/30/2019,26,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/21/2019,24,13,9/14/2023
Charlotte NC,517,Ariana Grande,7/28/2019,32,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/4/2019,26,13,9/14/2023
Charlotte NC,517,Ariana Grande,8/25/2019,17,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/15/2019,18,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/22/2019,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,9/29/2019,16,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/20/2019,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,10/27/2019,27,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/3/2019,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/10/2019,28,13,9/14/2023
Charlotte NC,517,Ariana Grande,11/17/2019,26,13,9/14/2023
Charlotte NC,517,Ariana Grande,12/29/2019,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/5/2020,16,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/19/2020,20,13,9/14/2023
Charlotte NC,517,Ariana Grande,1/26/2020,44,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/9/2020,13,13,9/14/2023
Charlotte NC,517,Ariana Grande,2/23/2020,19,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/1/2020,21,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/8/2020,13,13,9/14/2023
Charlotte NC,517,Ariana Grande,3/15/2020,15,13,9/14/2023
Charlotte NC,517,Ariana Grande,4/5/2020,13,13,9/14/2023
